volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
341040	Colima	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3850	2019	-103.62	19.514
341060	Michoacan-Guanajuato	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3860	1952	-101.75	19.85
341061	Zitacuaro-Valle de Bravo	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Dated	3500	-3050	-100.25	19.4
341062	Jocotitlan	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	3911	1270	-99.7579	19.7383
341070	Toluca, Nevado de	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	4680	-1350	-99.758	19.108
341080	Chichinautzin	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Dated	3938	399	-99.16	19.139
341082	Iztaccihuatl	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	5230		-98.642	19.179
341090	Popocatepetl	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	5393	2026	-98.622	19.023
341091	Malinche, La	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	4461	-1170	-98.032	19.231
341092	Serdan-Oriental Volcanic Field	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Dated	3485	-3920	-97.47	19.27
341093	Humeros, Los	Mexico	Trans-Mexican Volcanic Arc	Caldera(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	3150	-4470	-97.45	19.68
341095	Naolinco Volcanic Field	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2000	1145	-96.91	19.635
341100	Orizaba, Pico de	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	5564	1846	-97.27	19.03
341110	San Martin	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1660	1796	-95.1989	18.5615
341120	Chichon, El	Mexico	Chiapanecan Volcanic Arc	Lava dome(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1150	1982	-93.2297	17.3602
341130	Tacana	Mexico-Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	4064	1986	-92.109	15.132
342020	Tajumulco	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	4203		-91.903	15.043
342030	Santa Maria	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3745	2026	-91.552	14.757
342040	Almolonga	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3173	1818	-91.519	14.797
342060	Atitlan	Guatemala	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3535	1853	-91.186	14.583
342070	Toliman	Guatemala	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Evidence Credible	3158		-91.189	14.612
342080	Acatenango	Guatemala	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3976	1972	-90.876	14.501
342090	Fuego	Guatemala	Central America Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3799	2026	-90.8806	14.4748
342100	Agua	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	3760		-90.743	14.465
342110	Pacaya	Guatemala	Central America Volcanic Arc	Complex	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2569	2021	-90.601	14.382
342111	Cuilapa-Barbarena	Guatemala	Central America Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1454		-90.4	14.33
342120	Tecuamburro	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1845	-960	-90.407	14.156
342121	Jumaytepeque	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	1802		-90.271	14.34
342130	Moyuta	Guatemala	Central America Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1662		-90.1	14.03
